ENSMUSG00000067851.12	Arfgef1
ENSMUSG00002076532.1	Gm54899
ENSMUSG00000102556.2	Gm37569
ENSMUSG00000127523.1	ENSMUSG00000127523
ENSMUSG00000123573.1	ENSMUSG00000123573
ENSMUSG00000042501.13	Cpa6
ENSMUSG00000103810.2	Gm38005
ENSMUSG00000130625.1	ENSMUSG00000130625
ENSMUSG00000083422.2	Gm15604
ENSMUSG00000119312.1	Gm25253
ENSMUSG00000137678.1	ENSMUSG00000137678
ENSMUSG00000081417.2	Gm15603
ENSMUSG00000103448.2	Gm37133
ENSMUSG00000100212.2	Gm5522
ENSMUSG00000125508.1	ENSMUSG00000125508
ENSMUSG00000100648.2	Gm28659
ENSMUSG00000130062.1	ENSMUSG00000130062
ENSMUSG00002076499.1	Gm54912
ENSMUSG00000048960.14	Prex2
ENSMUSG00000127757.1	ENSMUSG00000127757
ENSMUSG00000127802.1	ENSMUSG00000127802
ENSMUSG00000077318.3	Gm24173
ENSMUSG00000101827.2	Gm28686
ENSMUSG00000122491.1	ENSMUSG00000122491
ENSMUSG00000103494.2	Gm37410
ENSMUSG00000143092.1	ENSMUSG00000143092
ENSMUSG00000057715.14	A830018L16Rik
ENSMUSG00000103825.2	Gm38178
ENSMUSG00000099845.2	Gm29273
ENSMUSG00000139014.1	ENSMUSG00000139014
ENSMUSG00000138973.1	ENSMUSG00000138973
ENSMUSG00000103561.2	Gm38069
ENSMUSG00000134440.1	ENSMUSG00000134440
ENSMUSG00000101610.2	Gm7560
ENSMUSG00000141382.1	ENSMUSG00000141382
ENSMUSG00000118923.1	Gm22633
ENSMUSG00000098555.3	Mir6341
ENSMUSG00000143719.1	ENSMUSG00000143719
ENSMUSG00000097628.2	Gm2383
ENSMUSG00000098163.2	Gm6216
ENSMUSG00000097171.3	Gm17644
ENSMUSG00000101314.3	Gm29663
ENSMUSG00000016918.16	Sulf1
ENSMUSG00000127288.1	ENSMUSG00000127288
ENSMUSG00000025938.17	Slco5a1
ENSMUSG00000104518.2	Gm37162
ENSMUSG00000141815.1	ENSMUSG00000141815
ENSMUSG00000069620.7	Gm5250
ENSMUSG00000099498.3	Gm29283
ENSMUSG00000042414.8	Prdm14
ENSMUSG00000005886.15	Ncoa2
ENSMUSG00000103506.2	Gm38376
ENSMUSG00000103495.2	Gm37409
ENSMUSG00002076346.1	Gm55160
ENSMUSG00000102639.2	Gm38223
ENSMUSG00000104170.2	Gm37702
ENSMUSG00000134412.1	ENSMUSG00000134412
ENSMUSG00000087782.3	Gm23169
ENSMUSG00000103085.2	Gm38120
ENSMUSG00000102664.2	Gm38380
ENSMUSG00000134452.1	ENSMUSG00000134452
ENSMUSG00000101476.3	Gm29570
ENSMUSG00000134491.1	ENSMUSG00000134491
ENSMUSG00000122424.1	ENSMUSG00000122424
ENSMUSG00000101171.2	Gm7593
ENSMUSG00000126000.1	ENSMUSG00000126000
ENSMUSG00000025935.11	Tram1
ENSMUSG00000120948.2	Gm57152
ENSMUSG00000131318.1	ENSMUSG00000131318
ENSMUSG00000025937.7	Lactb2
ENSMUSG00000102982.2	Gm38319
ENSMUSG00000067813.4	Xkr9
ENSMUSG00000077368.3	Gm26273
ENSMUSG00000097711.2	Gm5523
ENSMUSG00000134219.1	ENSMUSG00000134219
ENSMUSG00000102166.2	Gm36947
ENSMUSG00002075174.1	Gm55173
ENSMUSG00000104209.2	Gm37400
ENSMUSG00000025932.15	Eya1
ENSMUSG00002075819.1	Gm55247
ENSMUSG00000102588.2	Gm37444
ENSMUSG00000127312.1	ENSMUSG00000127312
ENSMUSG00000127278.1	ENSMUSG00000127278
ENSMUSG00000140763.1	ENSMUSG00000140763
ENSMUSG00000140464.1	ENSMUSG00000140464
ENSMUSG00000134469.1	ENSMUSG00000134469
ENSMUSG00000054493.4	Gm9947
ENSMUSG00000025930.7	Msc
ENSMUSG00000103492.2	Gm37412
ENSMUSG00000081201.2	Smt3h2-ps4
ENSMUSG00000082193.2	Rpl5-ps1
ENSMUSG00000032769.6	Trpa1
ENSMUSG00000088159.3	Gm26345
ENSMUSG00000125466.1	ENSMUSG00000125466
ENSMUSG00000073737.4	Gm10566
ENSMUSG00000092083.5	Kcnb2
ENSMUSG00000128216.1	ENSMUSG00000128216
ENSMUSG00000102937.2	Gm38116
ENSMUSG00000104149.2	Gm37138
ENSMUSG00000137925.1	ENSMUSG00000137925
ENSMUSG00000088829.3	Gm25227
ENSMUSG00000132707.1	ENSMUSG00000132707
ENSMUSG00000077377.3	Gm25168
ENSMUSG00000101652.2	Gm6060
